dataset,clf,sampler,condition,seed,contam,f1,precision,recall,mcc,roc_auc,pr_auc,error
saudi_attrition,SVM-RBF,Borderline,correct,0,0.1788079470198675,0.7416413373860182,0.7011494252873564,0.7870967741935484,0.5263505406714087,0.8580327347846813,0.8227856881766319,
saudi_attrition,RandForest,Borderline,leaked,0,0.1788079470198675,0.8029925187032418,0.8131313131313131,0.7931034482758621,0.6110228091887187,0.9036982212623456,0.9059597965620516,
saudi_attrition,RandForest,Borderline,correct,0,0.1788079470198675,0.7909967845659164,0.7884615384615384,0.7935483870967742,0.6305160782204038,0.8980613379945972,0.8779917283516296,
saudi_attrition,GradBoost,Borderline,leaked,0,0.1788079470198675,0.7929292929292929,0.8134715025906736,0.7733990147783252,0.5967836469385313,0.8957023951078646,0.9108953728642945,
saudi_attrition,GradBoost,Borderline,correct,0,0.1788079470198675,0.7912772585669782,0.7650602409638554,0.8193548387096774,0.623218892259141,0.9074845065946288,0.9036330069019144,
saudi_attrition,XGBoost,Borderline,leaked,0,0.1788079470198675,0.8079800498753117,0.8181818181818182,0.7980295566502463,0.6208780157885367,0.9065252736052803,0.9214043845214546,
saudi_attrition,XGBoost,Borderline,correct,0,0.1788079470198675,0.7717041800643086,0.7692307692307693,0.7741935483870968,0.5964083786128328,0.9013824884792626,0.8932755854520527,
saudi_attrition,LogReg,ADASYN,leaked,0,0.0588235294117647,0.7988826815642458,0.807909604519774,0.7900552486187845,0.6234505184673818,0.8966878044797648,0.9004965234976914,
saudi_attrition,LogReg,ADASYN,correct,0,0.0588235294117647,0.7725856697819314,0.7469879518072289,0.8,0.5893043659981805,0.903194025107262,0.9006162018851213,
saudi_attrition,DecTree,ADASYN,leaked,0,0.0588235294117647,0.7193460490463215,0.7096774193548387,0.7292817679558011,0.4627369849726716,0.8137196200636856,0.7667659448283168,
saudi_attrition,DecTree,ADASYN,correct,0,0.0588235294117647,0.689873417721519,0.6770186335403726,0.7032258064516129,0.4452885913688617,0.8080406801207692,0.7557279875469927,
saudi_attrition,5NN,ADASYN,leaked,0,0.0588235294117647,0.675531914893617,0.6512820512820513,0.7016574585635359,0.3661245033973884,0.7389842963285524,0.6757100127660937,
saudi_attrition,5NN,ADASYN,correct,0,0.0588235294117647,0.6418338108882522,0.5773195876288659,0.7225806451612903,0.3168772374736369,0.7125377403464166,0.6120754696329938,
saudi_attrition,SVM-RBF,ADASYN,leaked,0,0.0588235294117647,0.7550432276657061,0.7891566265060241,0.7237569060773481,0.555554883568317,0.8690634950874996,0.851733243032694,
saudi_attrition,SVM-RBF,ADASYN,correct,0,0.0588235294117647,0.7430340557275542,0.7142857142857143,0.7741935483870968,0.5338940112099217,0.8647068170983633,0.828956818551404,
saudi_attrition,RandForest,ADASYN,leaked,0,0.0588235294117647,0.7921348314606742,0.8057142857142857,0.7790055248618785,0.6129206739552034,0.8987290096072722,0.8955701533096873,
saudi_attrition,RandForest,ADASYN,correct,0,0.0588235294117647,0.7692307692307693,0.7643312101910829,0.7741935483870968,0.5910640679549227,0.8923565866836167,0.8689001864639939,
saudi_attrition,GradBoost,ADASYN,leaked,0,0.0588235294117647,0.7653631284916201,0.7740112994350282,0.7569060773480663,0.5606557646073228,0.8972593419154669,0.8999250802070813,
saudi_attrition,GradBoost,ADASYN,correct,0,0.0588235294117647,0.782608695652174,0.7544910179640718,0.8129032258064516,0.6067815663321747,0.9085650723025585,0.8992454009415423,
saudi_attrition,XGBoost,ADASYN,leaked,0,0.0588235294117647,0.8032345013477089,0.7842105263157895,0.8232044198895028,0.6202472409840721,0.9043355196908256,0.9048596523904998,
saudi_attrition,XGBoost,ADASYN,correct,0,0.0588235294117647,0.7682539682539683,0.75625,0.7806451612903226,0.586526481631121,0.9045288415699984,0.8986873603376517,
saudi_attrition,LogReg,RandomOS,leaked,0,0.1456953642384106,0.7990074441687345,0.805,0.7931034482758621,0.6010508596802189,0.8914557499575335,0.9054497161785192,
saudi_attrition,LogReg,RandomOS,correct,0,0.1456953642384106,0.7876923076923077,0.7529411764705882,0.8258064516129032,0.6140983242860384,0.9062450341649452,0.9024119253872724,
saudi_attrition,DecTree,RandomOS,leaked,0,0.1456953642384106,0.7272727272727273,0.7461139896373057,0.7093596059113301,0.4685491442905824,0.810902958091679,0.8054204566256817,
saudi_attrition,DecTree,RandomOS,correct,0,0.1456953642384106,0.6827794561933535,0.6420454545454546,0.7290322580645161,0.4149652821016347,0.7926585094549499,0.7588488884796842,
saudi_attrition,5NN,RandomOS,leaked,0,0.1456953642384106,0.6633165829145728,0.676923076923077,0.6502463054187192,0.3401657291610395,0.7519959232206557,0.7013224159480362,
